group,split,role,label,rel_path,score
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_839.bmp,0.4286651015281677
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_839.bmp,0.39824169874191284
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_839.bmp,0.4525199234485626
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_841.bmp,0.4289310574531555
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_841.bmp,0.48066961765289307
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_841.bmp,0.43000495433807373
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_842.bmp,0.43872541189193726
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_842.bmp,0.3699825406074524
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_842.bmp,0.401367723941803
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_843.bmp,0.4074971377849579
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_843.bmp,0.4114384949207306
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_843.bmp,0.40374770760536194
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_844.bmp,0.38128462433815
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_844.bmp,0.4365677833557129
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_844.bmp,0.4053204655647278
gpu_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_845.bmp,0.42960697412490845
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_845.bmp,0.42370009422302246
gpu_no_retrain,calib,calib_normal,0,test/good/calib_normal__train__good__2_845.bmp,0.4117296040058136
cpu_baseline,calib,calib_normal,0,test/good/calib_normal__train__good__2_846.bmp,0.46856600046157837
