group,rel_path,role,label,cpu_score,cpu_threshold,cpu_pred,group_score,group_threshold,group_pred,score_diff
gpu_no_retrain,test/good/test_normal__val__good__3_77.bmp,test_normal,0,0.5894614458084106,0.5757039785385132,1,0.5412053465843201,0.5823673605918884,0,-0.048256099224090576
gpu_retrain,test/good/test_normal__val__good__3_77.bmp,test_normal,0,0.5894614458084106,0.5757039785385132,1,0.3645405173301697,0.42649710178375244,0,-0.22492092847824097
gpu_retrain,test/good/test_normal__val__good__3_103.bmp,test_normal,0,0.553903341293335,0.5757039785385132,0,0.43615156412124634,0.42649710178375244,1,-0.11775177717208862
gpu_retrain,test/good/test_normal__test__good__2_861.bmp,test_normal,0,0.44089818000793457,0.5757039785385132,0,0.4589315950870514,0.42649710178375244,1,0.01803341507911682
gpu_no_retrain,test/good/test_normal__test__good__3_106.bmp,test_normal,0,0.5761531591415405,0.5757039785385132,1,0.5647875666618347,0.5823673605918884,0,-0.01136559247970581
gpu_retrain,test/good/test_normal__test__good__4_70.bmp,test_normal,0,0.5788551568984985,0.5757039785385132,1,0.38253650069236755,0.42649710178375244,0,-0.19631865620613098
gpu_no_retrain,test/good/test_normal__test__good__4_70.bmp,test_normal,0,0.5788551568984985,0.5757039785385132,1,0.574756383895874,0.5823673605918884,0,-0.004098773002624512
gpu_retrain,test/good/test_normal__test__good__4_85.bmp,test_normal,0,0.6224324703216553,0.5757039785385132,1,0.39024966955184937,0.42649710178375244,0,-0.2321828007698059
gpu_retrain,test/defect/test_anomaly__test__defect__2_58.bmp,test_anomaly,1,0.6302063465118408,0.5757039785385132,1,0.37478452920913696,0.42649710178375244,0,-0.25542181730270386
gpu_no_retrain,test/defect/test_anomaly__test__defect__2_58.bmp,test_anomaly,1,0.6302063465118408,0.5757039785385132,1,0.5745141506195068,0.5823673605918884,0,-0.055692195892333984
gpu_retrain,test/defect/test_anomaly__test__defect__2_80.bmp,test_anomaly,1,0.6327223777770996,0.5757039785385132,1,0.37245243787765503,0.42649710178375244,0,-0.2602699398994446
